Termo: 109560, anúncio: 525891, posição: [[9]], valor: 0.11175086585264932
Termo: 226826, anúncio: 618535, posição: [[1]], valor: 0.005887786957752027
Termo: 317184, anúncio: 603014, posição: [[46]], valor: 0.0009342498536098957
Termo: 221566, anúncio: 613214, posição: [[4]], valor: 0.08227665615970915
Termo: 315289, anúncio: 565924, posição: [[3]], valor: 0.03690322145160179
Termo: 443543, anúncio: 518505, posição: [[249119]], valor: 0.0
Termo: 368534, anúncio: 494751, posição: [[2]], valor: 0.047981544111957514
Termo: 345304, anúncio: 580657, posição: [[37]], valor: 0.008875814126876935
Termo: 131912, anúncio: 628635, posição: [[123]], valor: 0.00823490582275295
Termo: 332389, anúncio: 551574, posição: [[4]], valor: 0.01216527587122183
Termo: 123541, anúncio: 547702, posição: [[1326]], valor: 0.00015092327702498012
Termo: 133604, anúncio: 522645, posição: [[4]], valor: 0.03638795068969907
Termo: 204796, anúncio: 555407, posição: [[6]], valor: 0.03445969603745155
Termo: 119150, anúncio: 593973, posição: [[765]], valor: 9.457125905806612e-05
Termo: 456932, anúncio: 625695, posição: [[2]], valor: 0.050123853505282936
Termo: 298069, anúncio: 603926, posição: [[95]], valor: 0.019090094290462694
Termo: 375362, anúncio: 492854, posição: [[2]], valor: 0.014203391751544626
Termo: 37227, anúncio: 510600, posição: [[8]], valor: 0.10506442689224224
Termo: 188438, anúncio: 519599, posição: [[248053]], valor: 0.0
Termo: 201472, anúncio: 491175, posição: [[4]], valor: 0.02561185607659579
Termo: 71534, anúncio: 646189, posição: [[14]], valor: 0.0034221539137854495
Termo: 148342, anúncio: 566452, posição: [[7]], valor: 0.0013816951078183346
Termo: 192453, anúncio: 618535, posição: [[29]], valor: 0.005041214220998454
Termo: 72488, anúncio: 624315, posição: [[6]], valor: 0.016965865959537328
Termo: 161472, anúncio: 634665, posição: [[10]], valor: 0.004663590815119098
Termo: 225540, anúncio: 635090, posição: [[1]], valor: 0.005414388015506966
Termo: 248371, anúncio: 625231, posição: [[38]], valor: 0.004785997519202231
Termo: 177673, anúncio: 488991, posição: [[1]], valor: 0.014983341386182153
Termo: 165612, anúncio: 606069, posição: [[8]], valor: 0.01961558698107952
Termo: 15507, anúncio: 615945, posição: [[234243]], valor: 0.0
Termo: 345235, anúncio: 494968, posição: [[273856]], valor: 0.0
Termo: 417066, anúncio: 557376, posição: [[264]], valor: 0.0006724281163408152
Termo: 183796, anúncio: 578110, posição: [[1]], valor: 0.00284776652661642
Termo: 363293, anúncio: 579463, posição: [[188198]], valor: 0.0
Termo: 47850, anúncio: 470840, posição: [[55]], valor: 0.0006889455509616381
Termo: 239515, anúncio: 472415, posição: [[7]], valor: 0.2021781906745411
Termo: 316985, anúncio: 578579, posição: [[2]], valor: 0.038178004565898226
Termo: 4480, anúncio: 622808, posição: [[53]], valor: 0.0013635134494666846
Termo: 306064, anúncio: 467857, posição: [[12]], valor: 0.06212198968660708
Termo: 342583, anúncio: 535015, posição: [[12]], valor: 0.16592002955894242
Termo: 34812, anúncio: 491854, posição: [[11]], valor: 0.19095179948224622
Termo: 299430, anúncio: 636349, posição: [[3]], valor: 0.014828756051748099
Termo: 174982, anúncio: 544677, posição: [[2]], valor: 0.01215073183563398
Termo: 20483, anúncio: 590345, posição: [[15]], valor: 0.005883410195760651
Termo: 72586, anúncio: 509468, posição: [[20]], valor: 0.02979878074694133
Termo: 165256, anúncio: 608038, posição: [[168]], valor: 0.0006737645169163889
Termo: 145421, anúncio: 561193, posição: [[2]], valor: 0.014862217711132464
Termo: 173455, anúncio: 602463, posição: [[5]], valor: 0.028681695775288646
Termo: 426463, anúncio: 507840, posição: [[35]], valor: 0.002287045076125499
Termo: 394176, anúncio: 621933, posição: [[73]], valor: 0.006771254790657691
Termo: 320534, anúncio: 604161, posição: [[717]], valor: 0.0007059767920149971
Termo: 217128, anúncio: 610464, posição: [[12]], valor: 0.05392834418248445
Termo: 92066, anúncio: 563855, posição: [[2]], valor: 0.05465423961379018
Termo: 380967, anúncio: 605406, posição: [[3]], valor: 0.02594334235932864
Termo: 332972, anúncio: 540491, posição: [[11]], valor: 0.012941675127421969
Termo: 85105, anúncio: 534479, posição: [[73]], valor: 0.00076746834906764
Termo: 265665, anúncio: 628649, posição: [[1]], valor: 0.02006875790300217
Termo: 27563, anúncio: 566452, posição: [[7]], valor: 0.0013807793274615628
Termo: 290280, anúncio: 584697, posição: [[4]], valor: 0.02272045426791272
Termo: 92905, anúncio: 521857, posição: [[3]], valor: 0.060991726464168894
Termo: 23319, anúncio: 642272, posição: [[1]], valor: 0.005071019245698341
Termo: 352569, anúncio: 566877, posição: [[35]], valor: 0.017207002187410853
Termo: 370348, anúncio: 544181, posição: [[326420]], valor: 0.0
Termo: 191347, anúncio: 597717, posição: [[9]], valor: 0.02422391552182477
Termo: 354827, anúncio: 513638, posição: [[70]], valor: 0.03618059333987793
Termo: 51444, anúncio: 499928, posição: [[1]], valor: 0.02528176274651569
Termo: 141621, anúncio: 652638, posição: [[15]], valor: 0.10503115634332233
Termo: 315952, anúncio: 534107, posição: [[1]], valor: 0.01210606817551526
Termo: 137390, anúncio: 516720, posição: [[4]], valor: 0.030941993503819338
Termo: 386852, anúncio: 643803, posição: [[221712]], valor: 0.0
Termo: 121127, anúncio: 463521, posição: [[5]], valor: 0.14321639151293478
Termo: 163473, anúncio: 533337, posição: [[8]], valor: 0.009790120130292897
Termo: 347362, anúncio: 544365, posição: [[326614]], valor: 0.0
Termo: 171829, anúncio: 617565, posição: [[4]], valor: 0.019753945573967598
Termo: 337841, anúncio: 531585, posição: [[6]], valor: 0.010928785428051088
Termo: 162957, anúncio: 617545, posição: [[226269]], valor: 0.0
Termo: 73229, anúncio: 591514, posição: [[213]], valor: 0.0008986952937781929
Termo: 70276, anúncio: 603366, posição: [[9]], valor: 0.0018825142991331246
Termo: 131981, anúncio: 617061, posição: [[13]], valor: 0.008298918701547694
Termo: 335314, anúncio: 528501, posição: [[7]], valor: 0.012911934413321512
Termo: 424909, anúncio: 635585, posição: [[12]], valor: 0.00870748635986814
Termo: 239233, anúncio: 595254, posição: [[5]], valor: 0.049865073875140636
Termo: 71453, anúncio: 470006, posição: [[48514]], valor: 0.0
Termo: 159403, anúncio: 510767, posição: [[33]], valor: 0.0007012286134307179
Termo: 114837, anúncio: 645213, posição: [[220605]], valor: 0.0
Termo: 279431, anúncio: 560118, posição: [[195]], valor: 0.0017233257331655382
Termo: 299574, anúncio: 604914, posição: [[4]], valor: 0.10157884152741156
Termo: 357530, anúncio: 595370, posição: [[23]], valor: 0.006772694797091005
Termo: 178093, anúncio: 612152, posição: [[6]], valor: 0.013397230365062596
Termo: 102882, anúncio: 638195, posição: [[35]], valor: 0.00514547725210374
Termo: 59354, anúncio: 564670, posição: [[2]], valor: 0.3950231812042166
Termo: 240890, anúncio: 524976, posição: [[3]], valor: 0.17841057788599732
Termo: 347215, anúncio: 597303, posição: [[18]], valor: 0.0013198064897885606
Termo: 55459, anúncio: 496148, posição: [[4]], valor: 0.03404720756423669
Termo: 40095, anúncio: 610325, posição: [[6]], valor: 0.28539474287014366
Termo: 80427, anúncio: 601925, posição: [[12]], valor: 0.014810293740831888
Termo: 70588, anúncio: 495603, posição: [[1]], valor: 0.06025800530532803
Termo: 110811, anúncio: 573244, posição: [[28]], valor: 0.008158715308073798
Termo: 124077, anúncio: 650680, posição: [[9]], valor: 0.011578105335165631
Termo: 32438, anúncio: 642272, posição: [[1]], valor: 0.006810711778409258
Termo: 333846, anúncio: 521633, posição: [[1]], valor: 0.032963956510329157
Termo: 355475, anúncio: 481450, posição: [[13]], valor: 0.03631657074048512
Termo: 392661, anúncio: 481821, posição: [[1]], valor: 0.090558128028306
Termo: 399302, anúncio: 543588, posição: [[13455]], valor: 2.031245239458976e-05
Termo: 182872, anúncio: 611246, posição: [[20]], valor: 0.05396369655702839
Termo: 284960, anúncio: 484591, posição: [[16]], valor: 0.0279781424197357
Termo: 231724, anúncio: 504351, posição: [[10]], valor: 0.14234064186205606
Termo: 46590, anúncio: 642833, posição: [[6]], valor: 0.013327707242762239
Termo: 404591, anúncio: 609172, posição: [[13]], valor: 0.006679928918070072
Termo: 233838, anúncio: 558786, posição: [[1221]], valor: 0.0006660944651293264
Termo: 229577, anúncio: 546281, posição: [[318200]], valor: 0.0
Termo: 374218, anúncio: 494374, posição: [[5]], valor: 0.017140385387808803
Termo: 402663, anúncio: 601781, posição: [[39]], valor: 0.00822990555915899
Termo: 105907, anúncio: 461885, posição: [[7711]], valor: 5.190094031573356e-06
Termo: 293292, anúncio: 510708, posição: [[251512]], valor: 0.0
Termo: 281892, anúncio: 639675, posição: [[12]], valor: 0.003683053787010118
Termo: 8136, anúncio: 540062, posição: [[1]], valor: 0.10937922238932093
Termo: 302296, anúncio: 637008, posição: [[2]], valor: 0.004396210976355881
Termo: 209731, anúncio: 619887, posição: [[26]], valor: 0.03218230749347212
Termo: 170532, anúncio: 461885, posição: [[2]], valor: 0.002065918995979267
Termo: 261947, anúncio: 575652, posição: [[1]], valor: 0.14705232399805895
Termo: 336626, anúncio: 501360, posição: [[4]], valor: 0.029447980457343786
Termo: 59296, anúncio: 592858, posição: [[2]], valor: 0.011077494668586606
Termo: 280120, anúncio: 587486, posição: [[195521]], valor: 0.0
Termo: 413337, anúncio: 615660, posição: [[73]], valor: 0.0011684924990005556
Termo: 410793, anúncio: 612909, posição: [[73]], valor: 0.07427624770418131
Termo: 279478, anúncio: 596857, posição: [[66]], valor: 0.005258375787383801
Termo: 423989, anúncio: 534378, posição: [[2]], valor: 0.3097916589238172
Termo: 9437, anúncio: 540410, posição: [[2]], valor: 0.03465633680199319
Termo: 94515, anúncio: 601708, posição: [[166914]], valor: 0.0
Termo: 455498, anúncio: 507626, posição: [[6]], valor: 0.03595388119631556
Termo: 1015, anúncio: 620563, posição: [[6]], valor: 0.05759032354536858
Termo: 110208, anúncio: 531354, posição: [[49]], valor: 0.00718670219496194
Termo: 150993, anúncio: 571550, posição: [[7]], valor: 0.07951373534248386
Termo: 144165, anúncio: 644715, posição: [[983]], valor: 0.00023068423219948188
Termo: 55644, anúncio: 500780, posição: [[95]], valor: 0.0008307760212319408
Termo: 82514, anúncio: 473830, posição: [[10]], valor: 0.11125952654652732
Termo: 78354, anúncio: 623785, posição: [[73]], valor: 0.018606507575731686
Termo: 302734, anúncio: 530354, posição: [[12]], valor: 0.010263725504362319
Termo: 353972, anúncio: 524055, posição: [[25]], valor: 0.05114837693084237
Termo: 219456, anúncio: 635668, posição: [[405]], valor: 9.812741041004325e-05
Termo: 404759, anúncio: 617634, posição: [[4]], valor: 0.05789569075178118
Termo: 185940, anúncio: 471239, posição: [[45949]], valor: 0.0
Termo: 378159, anúncio: 605830, posição: [[10]], valor: 0.012812990622759264
Termo: 268717, anúncio: 507686, posição: [[33]], valor: 0.0026738334655588844
Termo: 375171, anúncio: 470392, posição: [[3]], valor: 0.1356262178337358
Termo: 102865, anúncio: 559633, posição: [[290890]], valor: 0.0
Termo: 12273, anúncio: 558548, posição: [[119]], valor: 0.025228298813596617
Termo: 419635, anúncio: 633674, posição: [[5]], valor: 0.027791732295642076
Termo: 211062, anúncio: 548638, posição: [[320615]], valor: 0.0
Termo: 452791, anúncio: 461885, posição: [[795]], valor: 2.7186398501838523e-05
Termo: 293383, anúncio: 538444, posição: [[310476]], valor: 0.0
Termo: 376150, anúncio: 599456, posição: [[2]], valor: 0.03261974337353013
Termo: 413876, anúncio: 479803, posição: [[5]], valor: 0.015063763643878066
Termo: 457382, anúncio: 615383, posição: [[345]], valor: 0.0003026523433962067
Termo: 428520, anúncio: 618569, posição: [[64]], valor: 0.0010918516731339605
Termo: 440726, anúncio: 495839, posição: [[186]], valor: 0.0011585972536892076
Termo: 41713, anúncio: 573205, posição: [[14]], valor: 0.03735370285466509
Termo: 395057, anúncio: 540677, posição: [[39]], valor: 0.05230455177602733
Termo: 429097, anúncio: 503688, posição: [[97]], valor: 0.0012896903262082727
Termo: 260590, anúncio: 634662, posição: [[1971]], valor: 7.70909680918276e-05
Termo: 333379, anúncio: 599844, posição: [[21]], valor: 0.004091205293633761
Termo: 212112, anúncio: 589018, posição: [[32]], valor: 0.0032845980683870566
Termo: 329911, anúncio: 595305, posição: [[3]], valor: 0.016135639520218695
Termo: 365130, anúncio: 628704, posição: [[11]], valor: 0.007922478914843725
Termo: 377333, anúncio: 490041, posição: [[24]], valor: 0.006619880577861769
Termo: 230537, anúncio: 551549, posição: [[2020]], valor: 6.493963574644135e-05
Termo: 454769, anúncio: 577167, posição: [[78]], valor: 0.009947393742650081
Termo: 1151, anúncio: 547585, posição: [[226]], valor: 0.0002913757439572141
Termo: 394078, anúncio: 511042, posição: [[24]], valor: 0.010289657941654266
Termo: 143742, anúncio: 496884, posição: [[3]], valor: 0.0029629421859300774
Termo: 188955, anúncio: 520486, posição: [[262032]], valor: 0.0
Termo: 24402, anúncio: 596341, posição: [[7]], valor: 0.041270665535015134
Termo: 171733, anúncio: 466661, posição: [[328]], valor: 0.0005535464168154816
Termo: 419516, anúncio: 491366, posição: [[123]], valor: 0.010159499506286555
Termo: 161485, anúncio: 644758, posição: [[144]], valor: 0.0007211413978310035
Termo: 448127, anúncio: 534090, posição: [[27]], valor: 0.0013447848724534302
Termo: 109672, anúncio: 626310, posição: [[56]], valor: 0.03609596388205953
Termo: 29755, anúncio: 499110, posição: [[88]], valor: 0.002008140769936771
Termo: 38886, anúncio: 507449, posição: [[121]], valor: 0.0006472396595229435
Termo: 28001, anúncio: 487239, posição: [[44]], valor: 0.08523101842574232
Termo: 385394, anúncio: 506935, posição: [[25]], valor: 0.005320061035148758
Termo: 373048, anúncio: 532870, posição: [[7]], valor: 0.03888237884086201
Termo: 156390, anúncio: 637983, posição: [[16]], valor: 0.0016653033716605339
Termo: 412844, anúncio: 511756, posição: [[19]], valor: 0.02266327087909817
Termo: 75751, anúncio: 487947, posição: [[1]], valor: 0.08510647155332587
Termo: 72651, anúncio: 531575, posição: [[311903]], valor: 0.0
Termo: 68753, anúncio: 538715, posição: [[108]], valor: 0.00205639629181394
Termo: 310172, anúncio: 550700, posição: [[3]], valor: 0.012399104596566301
Termo: 94899, anúncio: 629047, posição: [[10]], valor: 0.015388120198197217
Termo: 36958, anúncio: 627385, posição: [[1]], valor: 0.10537991612957781
Termo: 328200, anúncio: 482837, posição: [[1]], valor: 0.02038514199911234
Termo: 8449, anúncio: 605702, posição: [[55]], valor: 0.008933428924910527
Termo: 96974, anúncio: 468283, posição: [[5]], valor: 0.0047320777295566125
Termo: 47880, anúncio: 514996, posição: [[8]], valor: 0.005015235855286702
Termo: 226747, anúncio: 538033, posição: [[307376]], valor: 0.0
Termo: 191568, anúncio: 536932, posição: [[2]], valor: 0.020332048384227603
Termo: 427671, anúncio: 563098, posição: [[7]], valor: 0.0037185818338235513
Termo: 297010, anúncio: 528888, posição: [[52]], valor: 0.001088000445890697
Termo: 96924, anúncio: 518419, posição: [[6]], valor: 0.004566014356914878
Termo: 450804, anúncio: 474754, posição: [[1]], valor: 0.016586049380103732
Termo: 229221, anúncio: 650807, posição: [[219328]], valor: 0.0
Termo: 212455, anúncio: 465191, posição: [[15]], valor: 0.023875227065628286
Termo: 254657, anúncio: 469025, posição: [[2]], valor: 0.05715376273886517
Termo: 111350, anúncio: 467062, posição: [[8]], valor: 0.04685778546308584
Termo: 285576, anúncio: 466848, posição: [[6]], valor: 0.05074394947701646
Termo: 314319, anúncio: 609205, posição: [[5]], valor: 0.037240404492985255
Termo: 203236, anúncio: 641053, posição: [[194]], valor: 0.0006549764833671696
Termo: 119124, anúncio: 598932, posição: [[3]], valor: 0.044401610552817876
Termo: 418526, anúncio: 468116, posição: [[3]], valor: 0.044842182724475654
Termo: 422143, anúncio: 566628, posição: [[2]], valor: 0.10415231954492234
Termo: 65256, anúncio: 633685, posição: [[211834]], valor: 0.0
Termo: 17482, anúncio: 573655, posição: [[2]], valor: 0.06153841296060921
Termo: 141465, anúncio: 565975, posição: [[1]], valor: 0.04417576883082859
Termo: 392586, anúncio: 557198, posição: [[115]], valor: 0.02839752079716396
Termo: 397700, anúncio: 558871, posição: [[290100]], valor: 0.0
Termo: 371606, anúncio: 500780, posição: [[11]], valor: 0.0008384339247316456
Termo: 1551, anúncio: 599667, posição: [[164170]], valor: 0.0
Termo: 338739, anúncio: 482276, posição: [[32]], valor: 0.004925344479951662
Termo: 155473, anúncio: 649375, posição: [[57]], valor: 0.00985453121489786
Termo: 105195, anúncio: 459852, posição: [[19]], valor: 0.010685538420572148
Termo: 424875, anúncio: 573623, posição: [[273]], valor: 0.0003440260228319278
Termo: 419989, anúncio: 637130, posição: [[5]], valor: 0.016594404220669857
Termo: 41652, anúncio: 601059, posição: [[5]], valor: 0.02139547160609548
Termo: 298653, anúncio: 585943, posição: [[202137]], valor: 0.0
Termo: 326816, anúncio: 597378, posição: [[15]], valor: 0.01057464211920599
Termo: 224092, anúncio: 602795, posição: [[2]], valor: 0.02402461217568661
Termo: 273934, anúncio: 642272, posição: [[22]], valor: 0.0015662553285659192
Termo: 336523, anúncio: 474698, posição: [[14]], valor: 0.013994767889995416
Termo: 422141, anúncio: 471845, posição: [[15]], valor: 0.0072930867343825555
Termo: 190252, anúncio: 594668, posição: [[4]], valor: 0.004095663235150251
Termo: 207267, anúncio: 464841, posição: [[4]], valor: 0.009468470617456272
Termo: 449805, anúncio: 617061, posição: [[8]], valor: 0.010670375262055892
Termo: 270860, anúncio: 463108, posição: [[4]], valor: 0.05654150455346559
Termo: 456988, anúncio: 515241, posição: [[21]], valor: 0.005777050310580169
Termo: 378093, anúncio: 551121, posição: [[5]], valor: 0.007363533303722195
Termo: 290024, anúncio: 501783, posição: [[3]], valor: 0.005176843448665732
Termo: 72427, anúncio: 623883, posição: [[240411]], valor: 0.0
Termo: 204043, anúncio: 537675, posição: [[307325]], valor: 0.0
Termo: 115869, anúncio: 512813, posição: [[202]], valor: 0.0008248448594927269
Termo: 98783, anúncio: 527237, posição: [[29]], valor: 0.011837775052284161
Termo: 149665, anúncio: 498483, posição: [[37]], valor: 0.004581402929528151
Termo: 51827, anúncio: 537128, posição: [[5]], valor: 0.014393207669728337
Termo: 370488, anúncio: 544677, posição: [[2]], valor: 0.012150731835633978
Termo: 226652, anúncio: 511169, posição: [[55]], valor: 0.006753578994005225
Termo: 251765, anúncio: 619902, posição: [[7]], valor: 0.022624073413169795
Termo: 316769, anúncio: 614130, posição: [[3]], valor: 0.011626669961041777
Termo: 253980, anúncio: 509275, posição: [[22]], valor: 0.0028472372489314187
Termo: 263099, anúncio: 526110, posição: [[3]], valor: 0.014039765900951726
Termo: 219383, anúncio: 605035, posição: [[52]], valor: 0.003047498102831966
Termo: 72676, anúncio: 524265, posição: [[1]], valor: 0.06599253723779978
Termo: 364761, anúncio: 484843, posição: [[52837]], valor: 0.0
Termo: 251749, anúncio: 641754, posição: [[9]], valor: 0.10264566075616427
Termo: 71568, anúncio: 544408, posição: [[16]], valor: 0.0717803615541417
Termo: 370695, anúncio: 615059, posição: [[5]], valor: 0.16819539601653072
Termo: 243369, anúncio: 629884, posição: [[4]], valor: 0.009760872906977094
Termo: 383780, anúncio: 526211, posição: [[10]], valor: 0.015577914196140305
Termo: 282103, anúncio: 507840, posição: [[153]], valor: 0.0002631728959050038
Termo: 434711, anúncio: 463365, posição: [[77]], valor: 0.0014470747176038544
Termo: 189398, anúncio: 511961, posição: [[251559]], valor: 0.0
Termo: 78421, anúncio: 592001, posição: [[3]], valor: 0.0017487272000001953
Termo: 424274, anúncio: 535829, posição: [[80]], valor: 0.0018537418777338321
Termo: 129888, anúncio: 511152, posição: [[248]], valor: 0.00047426232052775287
Termo: 134743, anúncio: 650469, posição: [[13]], valor: 0.007327043128245804
Termo: 235123, anúncio: 588422, posição: [[46]], valor: 0.009805555753743467
Termo: 21291, anúncio: 507215, posição: [[1]], valor: 0.002179104225864876
Termo: 175065, anúncio: 569595, posição: [[14]], valor: 0.013862533673444437
Termo: 170526, anúncio: 601492, posição: [[1]], valor: 0.04386622434427507
Termo: 401477, anúncio: 601743, posição: [[136]], valor: 0.0004300645504955748
Termo: 134432, anúncio: 614850, posição: [[12]], valor: 0.2435614611333664
Termo: 137801, anúncio: 573873, posição: [[389]], valor: 0.0010666090930858147
Termo: 419819, anúncio: 478120, posição: [[26]], valor: 0.00477881552857003
Termo: 234373, anúncio: 481259, posição: [[3]], valor: 0.02602688851994999
Termo: 417228, anúncio: 518648, posição: [[249861]], valor: 0.0
Termo: 187279, anúncio: 525416, posição: [[4]], valor: 0.021753540532801964
Termo: 19839, anúncio: 564322, posição: [[138]], valor: 0.0002750627862511627
Termo: 178864, anúncio: 527655, posição: [[22]], valor: 0.0015290223218032298
Termo: 48151, anúncio: 527718, posição: [[25]], valor: 0.006361222860712374
Termo: 43362, anúncio: 592398, posição: [[145]], valor: 0.0011304971320960258
Termo: 41234, anúncio: 509748, posição: [[1]], valor: 0.005477523533674682
Termo: 285216, anúncio: 573157, posição: [[10]], valor: 0.003129023329895223
Termo: 159134, anúncio: 548714, posição: [[202]], valor: 0.0016735433319799479
Termo: 247824, anúncio: 645466, posição: [[12]], valor: 0.0007257932932827716
Termo: 347786, anúncio: 482876, posição: [[2]], valor: 0.0464224002185675
Termo: 445826, anúncio: 547430, posição: [[316818]], valor: 0.0
Termo: 289660, anúncio: 642272, posição: [[244]], valor: 0.0004701048685962677
Termo: 400260, anúncio: 615702, posição: [[25]], valor: 0.00946839059995642
Termo: 186916, anúncio: 640352, posição: [[50]], valor: 0.0011726150545947871
Termo: 46065, anúncio: 472509, posição: [[2]], valor: 0.012719151584771876
Termo: 220635, anúncio: 476442, posição: [[16]], valor: 0.00802918682057876
Termo: 394918, anúncio: 509003, posição: [[1]], valor: 0.047723562871497614
Termo: 69035, anúncio: 518419, posição: [[21]], valor: 0.002581523071159302
Termo: 405421, anúncio: 462042, posição: [[80977]], valor: 0.0
Termo: 387957, anúncio: 587054, posição: [[195585]], valor: 0.0
Termo: 82432, anúncio: 647988, posição: [[3]], valor: 0.0029591443558429176
Termo: 412042, anúncio: 626560, posição: [[2]], valor: 0.018930781706082554
Termo: 39807, anúncio: 516390, posição: [[8]], valor: 0.041267820836659024
Termo: 251599, anúncio: 507581, posição: [[276303]], valor: 0.0
Termo: 424951, anúncio: 622934, posição: [[6]], valor: 0.017910281247519262
Termo: 241220, anúncio: 641755, posição: [[7]], valor: 0.025030486951057394
Termo: 176540, anúncio: 614840, posição: [[21]], valor: 0.01962266769902311
Termo: 59046, anúncio: 466799, posição: [[2]], valor: 0.2951032918603394
Termo: 447196, anúncio: 504652, posição: [[1]], valor: 0.09313813421336385
Termo: 399690, anúncio: 593285, posição: [[4]], valor: 0.015038079329639052
Termo: 133527, anúncio: 549396, posição: [[35]], valor: 0.012751774790124848
Termo: 125940, anúncio: 583144, posição: [[1]], valor: 0.1214209281052476
Termo: 444776, anúncio: 469630, posição: [[305]], valor: 0.00039521025085867775
Termo: 196198, anúncio: 522759, posição: [[19]], valor: 0.10014985131342628
Termo: 416505, anúncio: 508563, posição: [[17]], valor: 0.014721403479470947
Termo: 30036, anúncio: 541079, posição: [[323574]], valor: 0.0
Termo: 414757, anúncio: 632063, posição: [[2]], valor: 0.0964815853534761
Termo: 19124, anúncio: 622092, posição: [[1]], valor: 0.06632198382341607
Termo: 224469, anúncio: 537594, posição: [[306547]], valor: 0.0
Termo: 167996, anúncio: 520912, posição: [[15]], valor: 0.011508231157202273
Termo: 392119, anúncio: 528691, posição: [[19]], valor: 0.04009357287851609
